怪物ID,怪物类型,怪物所在的格子,掉落包ID,怪物序号,关卡ID备注,副本ID备注,地图名备注,副本名称备注,,,,,,,,,
MonsterID,MonsterType,MonsterPos,DropPackID,,,,,,,,,,,,,,
uint32,uint32,uint8,uint32,,,,,,,,,,,,,,
key,all,all,all,,,,,,,,,,,,,,
10111,1001,3,1001,1,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10112,1002,9,1002,2,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10113,1003,5,1001,3,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10114,1004,1,1002,4,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10115,1005,7,1001,5,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10116,1002,8,1002,6,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10117,1003,10,1001,7,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10118,1004,11,1002,8,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10119,1005,12,1001,9,1011,101,盛渔村,仙灵岛(1),,,,,,,,,
10121,1006,3,1002,1,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10122,1007,9,1001,2,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10123,1008,2,1002,3,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10124,1009,5,1001,4,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10125,1010,1,1002,5,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10126,1007,7,1001,6,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10127,1008,10,1002,7,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10128,1009,11,1001,8,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10129,1010,12,1002,9,1012,101,盛渔村,仙灵岛(1),,,,,,,,,
10131,1011,3,1001,1,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10132,1012,9,1002,2,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10133,1013,5,1001,3,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10134,1014,8,1002,4,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10135,1015,7,1001,5,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10136,1012,1,1002,6,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10137,1013,10,1001,7,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10138,1014,11,1002,8,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10139,1015,12,1001,9,1013,101,盛渔村,仙灵岛(1),,,,,,,,,
10211,1016,6,1002,1,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10212,1017,2,1001,2,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10213,1018,5,1002,3,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10214,1019,8,1001,4,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10215,1020,4,1002,5,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10216,1017,7,1001,6,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10217,1018,10,1002,7,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10218,1019,11,1001,8,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10219,1020,12,1002,9,1021,102,盛渔村,仙灵岛(2),,,,,,,,,
10221,1021,3,1001,1,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10222,1022,6,1002,2,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10223,1023,9,1001,3,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10224,1024,5,1002,4,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10225,1025,4,1001,5,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10226,1022,7,1002,6,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10227,1023,10,1001,7,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10228,1024,11,1002,8,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10229,1025,12,1001,9,1022,102,盛渔村,仙灵岛(2),,,,,,,,,
10231,1026,6,1002,1,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10232,1027,5,1001,2,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10233,1028,1,1002,3,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10234,1029,4,1001,4,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10235,1030,7,1002,5,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10236,1027,8,1001,6,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10237,1028,10,1002,7,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10238,1029,11,1001,8,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10239,1030,12,1002,9,1023,102,盛渔村,仙灵岛(2),,,,,,,,,
10311,1031,3,1001,1,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10312,1032,9,1002,2,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10313,1033,5,1001,3,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10314,1034,1,1002,4,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10315,1035,4,1001,5,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10316,1032,8,1002,6,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10317,1033,10,1001,7,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10318,1034,11,1002,8,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10319,1035,12,1001,9,1031,103,盛渔村,仙灵岛(3),,,,,,,,,
10321,1036,3,1002,1,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10322,1037,9,1001,2,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10323,1038,5,1002,3,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10324,1039,4,1001,4,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10325,1040,7,1002,5,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10326,1037,8,1001,6,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10327,1038,10,1002,7,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10328,1039,11,1001,8,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10329,1040,12,1002,9,1032,103,盛渔村,仙灵岛(3),,,,,,,,,
10331,1041,9,1001,1,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10332,1042,5,1002,2,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10333,1043,8,1001,3,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10334,1044,1,1002,4,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10335,1045,7,1001,5,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10336,1042,2,1002,6,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10337,1043,10,1001,7,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10338,1044,11,1002,8,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10339,1045,12,1001,9,1033,103,盛渔村,仙灵岛(3),,,,,,,,,
10411,1046,3,1002,1,1041,104,盛渔村,十里坡(1),,,,,,,,,
10412,1047,2,1001,2,1041,104,盛渔村,十里坡(1),,,,,,,,,
10413,1048,5,1002,3,1041,104,盛渔村,十里坡(1),,,,,,,,,
10414,1049,1,1001,4,1041,104,盛渔村,十里坡(1),,,,,,,,,
10415,1050,4,1002,5,1041,104,盛渔村,十里坡(1),,,,,,,,,
10416,1047,7,1001,6,1041,104,盛渔村,十里坡(1),,,,,,,,,
10417,1048,10,1002,7,1041,104,盛渔村,十里坡(1),,,,,,,,,
10418,1049,11,1001,8,1041,104,盛渔村,十里坡(1),,,,,,,,,
10419,1050,12,1002,9,1041,104,盛渔村,十里坡(1),,,,,,,,,
10421,1051,9,1001,1,1042,104,盛渔村,十里坡(1),,,,,,,,,
10422,1052,5,1002,2,1042,104,盛渔村,十里坡(1),,,,,,,,,
10423,1053,8,1001,3,1042,104,盛渔村,十里坡(1),,,,,,,,,
10424,1054,4,1002,4,1042,104,盛渔村,十里坡(1),,,,,,,,,
10425,1055,7,1001,5,1042,104,盛渔村,十里坡(1),,,,,,,,,
10426,1052,1,1002,6,1042,104,盛渔村,十里坡(1),,,,,,,,,
10427,1053,10,1001,7,1042,104,盛渔村,十里坡(1),,,,,,,,,
10428,1054,11,1002,8,1042,104,盛渔村,十里坡(1),,,,,,,,,
