副本ID,地图ID,副本难度,前置副本ID,副本名称,副本标签,需要体力,进入等级,是否是Boss,Boss缩略图,战斗地图,背景音乐,前置对话ID,战斗关卡1,战斗关卡2,战斗关卡3,战斗关卡4,战斗关卡5,客户端副本剧情描述,客户端展示资源掉落包ID,客户端展示道具掉落包ID,所属地图名,
EctypeID,MapID,HardLevel,PreEctypeID,EctypeName,EctypeIndex,NeedEnergy,OpenLevel,IsBoss,BossPotrait,SceneBackground,Music,DialogueID,BattleID1,BattleID2,BattleID3,BattleID4,BattleID5,Desc,ShowDropPackID1,ShowDropPackID2,,
uint32,uint8,uint8,uint32,string,uint8,uint8,uint16,uint8,string,string,string,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,uint32,,
all,key,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,,
10101,1,1,0,仙灵岛(1),1,5,1,0,BaiJingJing,Bamboo,Battle1.mp3,1001,1011,1012,1013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,1
10102,1,1,10101,仙灵岛(2),2,5,1,0,ChengCaiYi,Bamboo1,Battle1.mp3,1001,1021,1022,1023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,2
10103,1,1,10102,仙灵岛(3),3,5,1,1,ChiGuiWang,Fenchang,Battle1.mp3,1001,1031,1032,1033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,3
10104,1,1,10103,十里坡(1),4,5,1,0,DuGuYuYun,Fenchang1,Battle1.mp3,1001,1041,1042,1043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,4
10105,1,1,10104,十里坡(2),5,5,1,0,HuangTianHua,Gobi,Battle1.mp3,1001,1051,1052,1053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,5
10106,1,1,10105,十里坡(3),6,5,1,1,HuXiMei,Gobi1,Battle1.mp3,1001,1061,1062,1063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,6
10107,1,1,10106,仙剑客栈(1),7,5,1,0,Lang3,Guhua,Battle1.mp3,1001,1071,1072,1073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,7
10108,1,1,10107,仙剑客栈(2),8,5,1,0,LeiZhenZi,Guhua1,Battle1.mp3,1001,1081,1082,1083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,8
10109,1,1,10108,仙剑客栈(3),9,5,1,1,LinYueRu,Gutenglin,Battle1.mp3,1001,1091,1092,1093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,9
10210,1,2,10109,仙灵岛(1),1,5,1,0,BaiJingJing,Bamboo,Battle1.mp3,1001,1011,1012,1013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,10
10211,1,2,10210,仙灵岛(2),2,5,1,0,ChengCaiYi,Bamboo1,Battle1.mp3,1001,1021,1022,1023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,11
10212,1,2,10211,仙灵岛(3),3,5,1,1,ChiGuiWang,Fenchang,Battle1.mp3,1001,1031,1032,1033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,12
10213,1,2,10212,十里坡(1),4,5,1,0,DuGuYuYun,Fenchang1,Battle1.mp3,1001,1041,1042,1043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,13
10214,1,2,10213,十里坡(2),5,5,1,0,HuangTianHua,Gobi,Battle1.mp3,1001,1051,1052,1053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,14
